Year,R_1,R_high,R_low,SSB,SSB_high,SSB_low,Landings,Discards,F_2_6,F_high,F_low
1963,446529,619281,321966,131187,218526,78755,115893,12199,0.47,0.55,0.4
1964,727964,1007225,526131,140120,231032,84982,125393,4656,0.52,0.6,0.45
1965,985009,1356350,715333,163823,269660,99526,180120,28973,0.57,0.65,0.5
1966,1193302,1642398,867006,183167,296630,113104,220197,37862,0.58,0.66,0.5
1967,1012126,1393595,735076,206032,324690,130737,251687,23285,0.62,0.7,0.54
1968,500385,690696,362511,210716,336705,131869,286948,17468,0.65,0.74,0.57
1969,435718,604853,313878,209070,315962,138341,199746,4757,0.61,0.7,0.54
1970,1479665,2040800,1072818,213550,307991,148068,224993,17663,0.65,0.73,0.57
1971,1956201,2707235,1413516,219837,300883,160622,326492,84007,0.74,0.83,0.66
1972,479664,664352,346319,201530,276820,146718,352161,33603,0.81,0.91,0.73
1973,698722,966697,505031,166750,238274,116695,237874,29966,0.79,0.88,0.7
1974,689808,955667,497909,177838,241477,130971,213215,39533,0.75,0.84,0.67
1975,1197898,1672902,857767,168209,214656,131812,204249,36841,0.81,0.91,0.72
1976,820106,1152792,583430,145059,181451,115967,233007,72397,0.87,0.97,0.78
1977,2002052,2796253,1433422,121682,152097,97348,208318,139027,0.82,0.92,0.74
1978,1177574,1648111,841376,116822,141500,96448,294640,32434,0.92,1.03,0.83
1979,1478518,2066177,1058000,117511,142704,96765,266019,162278,0.84,0.94,0.75
1980,2370072,3325825,1688976,117719,141300,98074,293753,294208,0.92,1.02,0.83
1981,931094,1303729,664966,127896,151856,107717,333616,57076,0.93,1.03,0.84
1982,1459702,2019840,1054901,129629,152656,110076,302365,54008,1.05,1.16,0.95
1983,831936,1122263,616716,108283,126678,92559,257634,21430,1.03,1.14,0.93
1984,1526121,2041366,1140924,96066,112765,81840,227070,151004,0.97,1.07,0.87
1985,376392,517103,273971,91854,107766,78291,214354,31298,0.92,1.02,0.84
1986,1825626,2436128,1368117,80288,94203,68428,201279,138604,1,1.1,0.9
1987,701797,940026,523942,82608,97164,70233,216041,27706,0.97,1.07,0.88
1988,471493,638694,348063,77578,92718,64911,183202,10504,1,1.1,0.9
1989,846975,1140434,629030,74208,86296,63813,139578,61656,1.02,1.12,0.92
1990,340447,459563,252205,65876,76423,56785,124835,26747,0.95,1.05,0.86
1991,398707,531742,298956,65972,76306,57037,101442,18199,0.94,1.03,0.85
1992,957698,1252210,732453,67467,77256,58919,112740,36193,0.91,1,0.83
1993,436538,565612,336918,69739,81080,59985,119947,21412,0.97,1.07,0.88
1994,1078364,1398912,831267,72155,83477,62368,109915,98208,0.94,1.04,0.85
1995,687763,889489,531786,77792,89922,67297,136397,31707,0.88,0.97,0.79
1996,469770,608862,362453,92444,106528,80222,124721,14030,0.9,1,0.82
1997,1542688,2000950,1189378,94210,106655,83217,122434,33184,0.93,1.02,0.85
1998,144395,192916,108078,98224,115113,83813,144637,40102,1.12,1.23,1.03
1999,312967,414085,236541,79094,90422,69186,94108,13642,1.14,1.25,1.05
2000,452949,590851,347232,55878,63078,49499,69567,13360,1.16,1.27,1.06
2001,183390,241562,139227,43323,50177,37406,48440,13519,0.88,0.97,0.79
2002,265362,350121,201122,46869,53519,41046,53152,11901,1.05,1.16,0.95
2003,120876,159831,91416,34964,40070,30509,30426,4007,0.76,0.85,0.68
2004,241790,319372,183054,33092,37569,29148,27748,8721,0.8,0.9,0.72
2005,192080,254040,145231,31978,36938,27683,28165,9932,0.82,0.91,0.73
2006,423208,550622,325278,34362,40199,29372,25665,11923,0.73,0.82,0.65
2007,190907,250440,145525,45667,53735,38811,24215,30422,0.66,0.75,0.58
2008,214364,279489,164414,65201,76147,55828,26814,24984,0.64,0.72,0.56
2009,240060,317144,181712,66101,77487,56388,33177,20846,0.61,0.71,0.53
2010,302150,391149,233401,69172,82857,57747,36762,12341,0.52,0.6,0.44
2011,143866,190462,108669,77527,95574,62887,31979,8711,0.4,0.47,0.35
2012,222046,293415,168037,81688,100901,66134,32124,8638,0.37,0.43,0.32
2013,251482,329801,191761,82352,101635,66727,30474,10289,0.37,0.43,0.32
2014,313474,406192,241919,80119,98773,64988,34651,10538,0.38,0.43,0.33
2015,147284,191993,112986,85085,105522,68605,37373,12537,0.38,0.44,0.34
2016,102928,134808,78587,85860,105641,69782,38104,12203,0.38,0.44,0.33
2017,313264,413582,237280,84416,103177,69067,37668,8702,0.43,0.5,0.38
2018,67402,88354,51419,73006,89997,59223,40153,7744,0.56,0.64,0.49
2019,145193,191869,109871,56169,71672,44019,32361,3555,0.54,0.64,0.46
2020,271264,401022,183492,39390,52077,29794,19373,4700,0.45,0.55,0.37
2021,185468,398970,86218,37912,51884,27703,NA,NA,NA,NA,NA