Year,R_0,R_high,R_low,SSB,SSB_high,SSB_low,Landings,Discards,F,F_high,F_low
1978,319509,398608,256106,72229,84493,59965,50551,NA,0.54,0.61,0.48
1979,313044,395734,247632,92987,103055,82919,51096,NA,0.58,0.68,0.49
1980,307338,382421,246996,95511,105110,85911,57265,NA,0.68,0.76,0.61
1981,616913,716417,531229,81942,90882,73003,53918,NA,0.69,0.82,0.55
1982,428809,519975,353627,66018,74417,57619,54994,NA,0.72,0.81,0.63
1983,140607,190426,103821,64190,71853,56527,57507,NA,0.66,0.72,0.6
1984,303080,352640,260485,77358,84632,70084,63286,NA,0.7,0.77,0.63
1985,650417,726580,582238,74253,80616,67890,56099,NA,0.85,0.97,0.74
1986,383785,429295,343099,55102,60829,49374,57092,NA,0.95,1.03,0.88
1987,448690,497941,404310,40364,45114,35614,63369,NA,1.04,1.11,0.98
1988,518914,570213,472230,43908,48035,39781,64823,2,1.05,1.12,0.98
1989,500919,546761,458921,43036,46642,39429,66473,73,1.13,1.21,1.06
1990,500015,544122,459483,40361,43258,37464,59954,NA,1.07,1.15,0.99
1991,283680,311727,258156,39644,42411,36878,58129,NA,1.02,1.07,0.96
1992,302910,332708,275780,38176,40907,35444,56617,NA,1.05,1.11,0.99
1993,541960,574507,511257,37391,39777,35005,52144,NA,1.1,1.17,1.02
1994,300812,322894,280240,29333,31385,27281,51259,356,1.11,1.16,1.06
1995,156159,170192,143283,28653,30528,26778,57621,NA,1.17,1.22,1.13
1996,377299,400700,355265,33659,35598,31719,47210,NA,1.03,1.08,0.97
1997,261533,283769,241040,28846,30662,27029,42465,NA,1.11,1.16,1.05
1998,434771,464785,406695,23231,24740,21722,35060,NA,1.03,1.1,0.96
1999,222697,241892,205026,26594,28235,24954,39814,349,1.01,1.07,0.96
2000,193857,209709,179203,29381,31166,27595,42026,83,0.95,1,0.91
2001,354055,377018,332491,34905,36895,32915,36675,NA,0.79,0.84,0.73
2002,283150,302769,264802,35956,38161,33752,40107,NA,0.84,0.88,0.79
2003,165395,178716,153067,36566,38862,34270,43162,2110,0.84,0.88,0.8
2004,354020,374661,334516,41638,44058,39219,46417,2552,0.85,0.91,0.8
2005,228685,244847,213590,39729,42159,37299,46550,4676,0.99,1.04,0.94
2006,306454,324134,289738,32217,34391,30043,41467,1816,0.88,0.92,0.83
2007,470423,497347,444957,39067,41663,36470,45028,2191,0.75,0.79,0.7
2008,772351,809790,736643,46620,49931,43309,47739,3248,0.6,0.65,0.56
2009,249675,271241,229824,70773,75669,65876,58818,10590,0.49,0.52,0.46
2010,270027,289299,252039,129738,137619,121857,72799,9978,0.37,0.39,0.35
2011,276796,297866,257216,211698,223863,199533,87540,14156,0.31,0.32,0.29
2012,519015,551413,488520,238004,253248,222760,85677,12680,0.27,0.29,0.25
2013,376267,402431,351804,238566,255334,221798,77753,15886,0.27,0.31,0.24
2014,208076,226105,191484,248043,265980,230106,89940,9913,0.25,0.27,0.23
2015,215682,234673,198228,283027,303407,262647,93670,9820,0.24,0.26,0.23
2016,313605,344036,285866,307092,330674,283510,109106,12741,0.27,0.29,0.25
2017,340551,385430,300898,280165,306313,254017,104671,7386,0.37,0.4,0.33
2018,317969,370535,272861,235279,264719,205839,89671,7034,0.29,0.33,0.26
2019,309417,NA,NA,217121,253157,181085,82298,4940,0.28,0.33,0.23
2020,309417,NA,NA,224675,273027,176323,72579,3257,0.26,0.32,0.2
2021,309417,NA,NA,239091,318333,184335,NA,NA,NA,NA,NA